index,address_1,address_2,name,expiration_date
178,DOLNYCH MŁYNÓW,9,LESICKI ŁABAJ CLASSIC ROCK CLUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚĆIĄ SPÓŁKA KOMANDYTOWA,2029-02-28
179,DOLNYCH MŁYNÓW,3/3,CISZKOWICZ MACIEJ,2028-07-13
180,DOLNYCH MŁYNÓW,3/4,KIRSZ MARTA,2022-06-02
181,DOMINIKAŃSKA,1,LARIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-09-10
182,DOMINIKAŃSKA,3,CULINARY GLOBAL CONCEPT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-03-31
183,DR. LUDWIKA ZAMENHOFA,14,INTERDOM A.KLECHA I WSPÓLNICY SPÓŁKA JAWNA,2027-04-17
184,DR. LUDWIKA ZAMENHOFA,6/1A,BUSZEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-10-22
185,DWORCOWA,6,KULA AGNIESZKA,2026-10-12
186,DWORCOWA,7,ZANFIROV VADYM,2022-08-10
187,DYWIZJONU 303,58A,BERNATA WOJTANEK,2022-01-31
188,DYWIZJONU 303,62C/lok. U 16,HALAMA ŁUKASZ,2029-06-13
189,ELJASZA WALEREGO RADZIKOWSKIEGO,1,MADAME LAURA SPÓŁKA Z O. O.,2022-09-12
190,ELJASZA WALEREGO RADZIKOWSKIEGO,109,WAWEL-IMOS INTERNATIONAL SPÓŁKA AKCYJNA,2024-06-24
191,ELJASZA WALEREGO RADZIKOWSKIEGO,142,RADZIKOWSKIEGO Q HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA,2028-05-05
192,EMAUS,3,ZYGADŁO KATARZYNA,2028-03-04
193,EMAUS,28B,KONOPKA KRYSTYNA,2026-11-04
194,ESTERY,1,SKWER D. JODŁOWSKI SPÓŁKA KOMANDYTOWA,2028-03-04
195,ESTERY,5,"ALCHEMIA WITYŃSKI, ŻAKOWSKI SPÓŁKA JAWNA",2023-02-28
196,ESTERY,6,BASTA INVEST GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-09-17
197,ESTERY,10,KŁOS PAWEŁ,2028-09-29
198,ESTERY,12,STB GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-11-20
199,ESTERY,16,ŻUKOWSKI DARIUSZ,2026-01-10
200,ESTERY,18,NOVA ADAM MELNYCZUK SPÓŁKA JAWNA,2028-12-31
201,ESTERY,14 lok. 1,C PROFIT 2ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-03-22
202,ESTERY,14/A,WOŁEK ANDRZEJ,2027-03-31
203,FABRYCZNA,13,CAFE FABRYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-06
204,FABRYCZNA,13,AZJA FABRYCZNA SPÓŁKA Z OGRABNICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-06
205,FABRYCZNA,13,WEGE FABRYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-06
206,FABRYCZNA,13,RESTAURACJA FABRYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-06
207,FABRYCZNA,13,F. R. B. INTER-BUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2029-10-06
208,FABRYCZNA,13,BROWAR FABRYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-10-17
209,FELICJANEK,4,MASSOLIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-09-27
210,FELICJANEK,10,DĘBSKA KALINA,2028-05-20
211,FELIKSA KONECZNEGO,4/11U,RADZISZEWSKI RAFAŁ,2022-07-03
212,FELIKSA KONECZNEGO,4/3U,GASTRO SUKCES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-06-14
213,FELIKSA KONECZNEGO,6/U18,RACHTAN-GROCHAL MAŁGORZATA,2026-12-04
214,FLISACKA,3,"KOGUT MAGDALENA, BRYG MAREK, BRYG MARIA, BRYG WOJCIECH",2027-02-06
215,FLORIANA STRASZEWSKIEGO,2,MRÓZ WOJCIECH,2022-07-04
216,FLORIANA STRASZEWSKIEGO,12.0,HOTEL QUEEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2027-09-11
217,FLORIANA STRASZEWSKIEGO,14.0,MIKULSKI MICHAŁ,2022-11-23
218,FLORIANA STRASZEWSKIEGO,27.0,PIRS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-11-19
219,FLORIANA STRASZEWSKIEGO,28.0,"TOMCZYK MAREK, MAZGAJ MATEUSZ, RYDZEK RAFAŁ",2023-11-17
220,FLORIAŃSKA,3.0,LUNZ JANUSZ,2026-03-03
